Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gld coalesced,gld uncoalesced,gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,prof trigger 07,prof trigger 06,prof trigger 05,prof trigger 04,tex cache hit,tex cache miss,warp serialize,instructions,divergent branch,branch,prof trigger 03,prof trigger 02,prof trigger 01,prof trigger 00
"Memcpy DtoH [sync]",2993495126,28672,,,,,,,,,,123904,4321428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3038024463,110624,,,,,,,,,,495616,4480185131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3038348463,109024,,,,,,,,,,495616,4545934840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3038460975,842816,44,44,1,8,8,1,11,544,0,,,4,5,4,5,5786741761,100,65853658,152064,0,144,152064,0,1728,216,72,0,0,0,0,0,3456,152064,0,152064,12672,0,0,0,0,0,0,233225,178578,0,19584,0,0,0,0
"Memcpy DtoH [sync]",3039391215,108544,,,,,,,,,,495616,4566037735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3092244868,244480,,,,,,,,,,1115136,4561256544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3092865124,212352,,,,,,,,,,1115136,5251356238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3093080964,2835424,66,66,1,8,8,1,11,544,0,,,4,519,4,519,5732821858,100,43414885,511104,0,324,511104,0,3872,484,162,0,0,0,0,0,7744,511104,0,511104,42768,0,0,0,0,0,0,794468,594234,0,65448,0,0,0,0
"Memcpy DtoH [sync]",3096013092,242272,,,,,,,,,,1115136,4602826575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3150822036,30400,,,,,,,,,,123904,4075789473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3150965716,29408,,,,,,,,,,123904,4213275299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3150998612,83360,11,11,1,16,16,1,11,2080,0,,,9,643,9,643,4003249390,100,184362139,4928,0,40,4928,224,0,14,5,0,0,0,4928,0,896,4928,0,0,880,0,0,0,0,0,0,0,23672,0,1480,0,0,0,0
"Memcpy DtoH [sync]",3151149812,29248,,,,,,,,,,123904,4236323851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3197975147,110240,,,,,,,,,,495616,4495791001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3198300907,109056,,,,,,,,,,495616,4544600938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3198413483,486336,22,22,1,16,16,1,11,2080,0,,,9,9,5106931757,100,114414354,38016,0,144,38016,864,0,54,18,0,0,0,38016,0,3456,38016,0,0,6336,0,0,0,0,0,0,0,162752,0,10080,0,0,0,0
"Memcpy DtoH [sync]",3198987755,108992,,,,,,,,,,495616,4547269524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3251083109,243872,,,,,,,,,,1115136,4572628264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3251679429,212320,,,,,,,,,,1115136,5252147701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3251895237,1578368,33,33,1,16,16,1,11,2080,0,,,9,149,9,149,5200805910,100,79186862,127776,0,328,127776,1936,0,121,41,0,0,0,127776,0,7744,127776,0,0,21648,0,0,0,0,0,0,0,547456,0,33784,0,0,0,0
"Memcpy DtoH [sync]",3253556549,242816,,,,,,,,,,1115136,4592514496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3308596301,30496,,,,,,,,,,123904,4062959076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3308719245,29568,,,,,,,,,,123904,4190476190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=22>(float*, float const *, float const *, int)",3308752269,143168,8,8,1,22,22,1,13,3904,0,,,5,205,5,205,3315636850,100,206628113,7968,0,48,8062,149,255,8,3,0,0,1504,2384,0,1858,7968,94,4080,768,0,0,0,0,0,0,22126,27760,0,1344,0,0,0,0
"Memcpy DtoH [sync]",3308965357,28736,,,,,,,,,,123904,4311804008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3354513915,110272,,,,,,,,,,495616,4494486360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3354839835,109344,,,,,,,,,,495616,4532630962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=22>(float*, float const *, float const *, int)",3354952635,858720,16,16,1,22,22,1,13,3904,0,,,4,868,4,836,4024830784,100,125204339,57168,0,160,57533,500,910,29,10,0,0,11408,16236,0,6740,57168,365,29524,5120,0,0,0,0,0,0,147516,174419,0,8320,0,0,0,0
"Memcpy DtoH [sync]",3355909851,109120,,,,,,,,,,495616,4541935483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
