Name,Registers/Thread,Static Shared Memory,gst uncoalesced,gst coalesced,gld uncoalesced,gld coalesced,gld 32B,gld request,gld 128B,gld 64B,divergent branch,branch,sm cta launched,cta launched,warp serialize,instructions,gst 32B,gst 64B,gst 128B,gld total,local store,local load,gst total,gst request,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4488246478,32224,,,,,,,,65536,2033763654
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",12,2092,0,768,0,3072,0,3072,0,3072,0,1568,0,18,0,14464,0,240,0,3840,0,0,3840,208,4488285134,92608,8,8,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4488423115,15967,,,,,,,,65536,4104465460
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4532780356,48096,,,,,,,,262144,5450432468
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4532939012,47520,,,,,,,,262144,5516498316
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",12,2092,0,4032,0,32256,0,30720,0,30720,0,8736,0,64,0,136192,0,1056,0,32256,0,0,32256,992,4532990660,519392,16,16,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4533557122,48895,,,,,,,,262144,5361366192
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4581272250,103808,,,,,,,,589824,5681874229
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4581576538,103296,,,,,,,,589824,5710037174
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",12,2092,0,9280,0,111360,0,111360,0,111360,0,29184,0,143,0,480416,0,2320,0,109824,0,0,109824,2320,4581683898,1641952,24,24,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4583430101,106142,,,,,,,,589824,5556933165
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4633540107,177408,,,,,,,,1048576,5910533910
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4634005035,176960,,,,,,,,1048576,5925497287
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",12,2092,0,16448,0,263168,0,260096,0,260096,0,68000,0,257,0,1109504,0,4080,0,261120,0,0,261120,4112,4634186091,3764128,32,32,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4638185505,184123,,,,,,,,1048576,5694975641
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4689103128,283328,,,,,,,,1638400,5782697086
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4689785592,282656,,,,,,,,1638400,5796445148
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",12,2092,0,25664,0,513280,0,513280,0,513280,0,130944,0,397,0,2182296,0,6432,0,513280,0,0,513280,6384,4690072280,7300800,40,40,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4697986402,292601,,,,,,,,1638400,5599434041
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4751588673,32768,,,,,,,,65536,2000000000
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4751669889,32224,,,,,,,,65536,2033763654
"void MatrixMulKernel_4a<int=8>(float*, float const *, float const *, int)",13,556,0,1008,0,17136,17136,8568,0,0,0,2288,0,65,30467,20980,528,0,0,17408,0,0,17408,260,4751708609,144864,16,16,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4751898590,16224,,,,,,,,65536,4039447731
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4797481368,48032,,,,,,,,262144,5457694870
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4797639160,47328,,,,,,,,262144,5538877620
"void MatrixMulKernel_4a<int=8>(float*, float const *, float const *, int)",13,556,0,4096,0,135168,135696,67848,0,0,0,16800,0,255,238712,167980,2064,0,0,135168,0,0,135168,1012,4797690584,939968,32,32,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4798681012,48928,,,,,,,,262144,5357750163
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4847177324,104000,,,,,,,,589824,5671384615
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4847468684,103296,,,,,,,,589824,5710037174
"void MatrixMulKernel_4a<int=8>(float*, float const *, float const *, int)",13,556,0,9216,0,451584,451584,225792,0,0,0,56832,0,576,802313,557586,4608,0,0,451584,0,0,451584,2304,4847576044,3061792,48,48,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4850721319,107836,,,,,,,,589824,5469639081
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4900785947,176928,,,,,,,,1048576,5926568999
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4901307163,176992,,,,,,,,1048576,5924425962
"void MatrixMulKernel_4a<int=8>(float*, float const *, float const *, int)",13,556,0,16416,0,1067040,1067040,533520,0,0,0,133672,0,1024,1888477,1310564,8208,0,0,1066000,0,0,1066000,4112,4901488219,7093216,64,64,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4908674450,183675,,,,,,,,1048576,5708866203
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4960261925,283392,,,,,,,,1638400,5781391147
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4960939845,282336,,,,,,,,1638400,5803014847
"void MatrixMulKernel_4a<int=8>(float*, float const *, float const *, int)",13,556,0,25648,0,2077488,2074896,1037448,0,0,0,260104,0,1597,3691001,2532340,12784,0,0,2072304,0,0,2072304,6400,4961226245,13950176,80,80,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4975284310,290713,,,,,,,,1638400,5635798880
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5029928072,32768,,,,,,,,65536,2000000000
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5030030056,32224,,,,,,,,65536,2033763654
"void MatrixMulKernel_4a<int=16>(float*, float const *, float const *, int)",13,2092,0,832,0,3744,0,4608,0,4608,0,1344,0,16,0,14976,0,208,0,4320,0,0,4320,320,5030068744,91392,8,8,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5030771420,16448,,,,,,,,65536,3984435797
