Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,tex cache hit,gld coalesced,tex cache miss,gld uncoalesced,warp serialize,instructions,divergent branch,branch
"Memcpy HtoD [sync]",3487801158,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3487842758,35264,8,8,1,16,16,1,11,2080,0,,,10,125,10,125,3589833479,100,222802436,24,128,128,0,8,3,0,0,0,2048,0,512,2048,0,0,384,0,2048,0,0,0,10680,0,672
"Memcpy DtoH [sync]",3487959206,17376,,,,,,,,,,65536,3771639042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3527090706,59520,,,,,,,,,,262144,4404301075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3527289938,58816,,,,,,,,,,262144,4457018498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3527352274,200992,16,16,1,16,16,1,11,2080,0,,,9,31,9,31,4709165873,100,142026323,80,464,464,0,29,10,0,0,0,14848,0,1856,14848,0,0,2560,0,14848,0,0,0,66904,0,4160
"Memcpy DtoH [sync]",3527642066,57888,,,,,,,,,,262144,4528468767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3574556576,129792,,,,,,,,,,589824,4544378698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3574924544,128896,,,,,,,,,,589824,4575968222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3575056928,622912,24,24,1,16,16,1,11,2080,0,,,9,281,9,281,5029366622,100,104282295,176,1024,1024,0,64,22,0,0,0,49152,0,4096,49152,0,0,8448,0,49152,0,0,0,216152,0,13376
"Memcpy DtoH [sync]",3575789760,128096,,,,,,,,,,589824,4604546590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3627393615,224352,,,,,,,,,,1048576,4673798316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3627958863,223808,,,,,,,,,,1048576,4685158707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3628186159,1409280,32,32,1,16,16,1,11,2080,0,,,9,9,5284922018,100,82007013,304,1824,1824,0,114,38,0,0,0,116736,0,7296,116736,0,0,19456,0,116736,0,0,0,492504,0,30400
"Memcpy DtoH [sync]",3629704367,222528,,,,,,,,,,1048576,4712108139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3679605352,10336,,,,,,,,,,16384,1585139318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3679655656,9408,,,,,,,,,,16384,1741496598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",3679689736,11168,4,4,1,16,16,1,12,2080,0,,,13,5,13,5,1753424657,100,172043010,8,32,32,0,2,1,0,0,0,320,0,128,320,0,0,80,0,320,0,0,0,2339,0,144
"Memcpy DtoH [sync]",3679785448,7328,,,,,,,,,,16384,2235807860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3719412223,29312,,,,,,,,,,65536,2235807860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3719489183,28992,,,,,,,,,,65536,2260485651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",3719531071,38752,8,8,1,16,16,1,12,2080,0,,,10,125,10,125,3725141471,100,207287449,24,128,128,0,8,3,0,0,0,2304,0,512,2304,0,0,432,0,2304,0,0,0,12840,0,816
"Memcpy DtoH [sync]",3719656703,17376,,,,,,,,,,65536,3771639042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3760071786,59328,,,,,,,,,,262144,4418554476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3760277834,58368,,,,,,,,,,262144,4491228070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",3760339882,226560,16,16,1,16,16,1,12,2080,0,,,9,31,9,31,4445822178,100,129193930,80,464,464,0,29,10,0,0,0,15776,0,1856,15776,0,0,2720,0,15776,0,0,0,81784,0,5280
"Memcpy DtoH [sync]",3760655946,57280,,,,,,,,,,262144,4576536312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3806003568,129536,,,,,,,,,,589824,4553359683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3806348592,129600,,,,,,,,,,589824,4551111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
